"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
19851,"Amgen ","AMGN","4/6/2018","Buy","-0.6%","1.8%","3.1%","-1%","0.0%","1.4%","0%","5%"
19852,"Applied Materials ","AMAT","25/4/2022","Buy","-3.5%","4.5%","5.9%",,"-2.3%","0.1%","-3%","0%"
19853,"Planet Fitness ","PLNT","12/8/2019","Positive Mention","2.9%","-7.8%","-11.6%","-22%","1.7%","-0.8%","3%","18%"
19854,"3M ","MMM","18/6/2018","Buy","-0.9%","-1.4%","1.1%","-12%","0.5%","-1.4%","2%","8%"
19855,"Signet Jewelers ","SIG","14/1/2021","Buy","-3.5%","-7.7%","15.0%","125%","-0.3%","1.9%","4%","23%"
19856,"Nio ","NIO","6/2/2019","Sell","-2.9%","-7.0%","-18.0%","-53%","-0.3%","1.6%","3%","25%"
19857,"General Mills ","GIS","15/6/2016","Buy","1.4%","1.5%","10.6%","-11%","0.3%","1.7%","4%","19%"
19858,"TE Connectivity ","TEL","4/12/2018","Negative Mention","3.5%","-1.2%","-1.8%","23%","1.5%","-1.6%","-6%","18%"
19859,"Thermo Fisher Scientific ","TMO","17/9/2020","Buy","0.5%","-1.6%","7.5%","38%","-1.4%","-0.6%","3%","33%"
19860,"Virgin Galactic ","SPCE","12/2/2020","Sell","4.0%","57.5%","-49.7%","130%","0.4%","0.0%","-29%","19%"
19861,"Chevron ","CVX","24/1/2020","Negative Mention","0.1%","-3.7%","-4.0%","-13%","0.1%","0.2%","0%","21%"
19862,"Micron Technology ","MU","6/8/2019","Buy","-0.6%","0.7%","17.3%","17%","1.3%","-1.4%","4%","18%"
19863,"Esperion Therapeutics ","ESPR","28/8/2017","Sell","0.1%","3.8%","3.5%","3%","0.7%","0.5%","3%","21%"
19864,"Medtronic ","MDT","14/10/2020","Buy","1.4%","4.0%","3.8%","21%","1.1%","-0.8%","4%","30%"
19865,"NVIDIA ","NVDA","14/2/2020","Buy","3.8%","-7.9%","-33.7%","107%","0.1%","-4.2%","-29%","19%"
19866,"Walmart ","WMT","10/5/2019","Positive Mention","-0.6%","1.6%","7.6%","26%","-0.6%","1.1%","3%","6%"
19867,"Entravision Communication ","EVC","13/6/2016","Buy","1.5%","-6.6%","4.3%","-8%","0.0%","0.7%","4%","20%"
19868,"NVIDIA ","NVDA","10/10/2018","Negative Mention","-2.9%","1.9%","-19.4%","-21%","-1.8%","1.6%","0%","11%"
19869,"Orbital ATK ","OA","16/5/2017","Buy","0.3%","4.5%","3.3%","40%","-1.8%","2.0%","3%","18%"
19870,"JPMorgan Chase ","JPM","14/11/2016","Positive Mention","1.3%","-1.0%","8.4%","27%","0.6%","1.1%","4%","20%"
19871,"Bank of America ","BAC","13/1/2017","Buy","-2.8%","2.3%","6.1%","44%","0.0%","0.0%","3%","25%"
19872,"Wells Fargo ","WFC","9/7/2021","Positive Mention","2.0%","-2.5%","10.6%","-8%","0.4%","-2.8%","1%","-11%"
19873,"Alcoa ","AA","25/3/2022","Sell","2.0%","-1.7%","-27.1%",,"0.9%","0.2%","-6%","0%"
19874,"Albertsons ","ACI","15/10/2021","Buy","4.8%","3.9%","18.4%","-9%","0.7%","1.9%","5%","-17%"
19875,"United Technologies ","UTX","24/1/2020","Positive Mention","0.0%","-0.7%","-2.5%","-9%","0.1%","0.2%","0%","21%"
19876,"Alnylam Pharmaceuticals ","ALNY","24/6/2016","Sell","-1.9%","13.2%","26.1%","58%","-1.0%","4.4%","9%","24%"
19877,"Synchrony Financial ","SYF","5/4/2018","Negative Mention","-1.4%","0.8%","-2.8%","-1%","-1.4%","2.1%","3%","13%"
19878,"RH ","RH","3/5/2021","Buy","-0.3%","-4.9%","-11.0%","-51%","-0.1%","-0.3%","1%","5%"
19879,"Cummins ","CMI","6/3/2018","Buy","0.6%","0.2%","-0.8%","0%","0.9%","0.9%","-4%","3%"
19880,"Vertex Pharmaceuticals ","VRTX","5/8/2020","Buy","1.5%","-2.3%","-5.4%","-27%","0.9%","0.7%","0%","34%"
19881,"Sesen Bio ","SESN","21/6/2021","Negative Mention","0.7%","12.6%","-2.4%","-81%","0.5%","1.1%","3%","-10%"
19882,"Snap ","SNAP","22/6/2018","Sell","0.7%","0.4%","2.2%","13%","-0.9%","0.3%","3%","11%"
19883,"Micron Technology ","MU","3/10/2018","Buy","-0.8%","-5.0%","-9.6%","1%","-0.6%","-6.0%","-6%","4%"
19884,"Boeing ","BA","23/10/2020","Buy","-2.5%","-7.6%","31.5%","32%","-0.8%","-2.7%","5%","36%"
19885,"Ventas ","VTR","12/5/2020","Sell","-2.1%","22.6%","47.1%","108%","-1.6%","5.4%","8%","48%"
19886,"Etsy ","ETSY","29/10/2020","Buy","-6.8%","20.3%","32.2%","100%","-0.5%","7.2%","11%","43%"
19887,"SailPoint Technologies ","SAIL","10/8/2020","Buy","-0.7%","4.9%","7.2%","29%","-1.2%","1.8%","0%","35%"
19888,"Mitek Systems ","MITK","8/11/2021","Buy","1.2%","-5.4%","-3.5%","-41%","-0.4%","0.4%","0%","-19%"
19889,"Papa Johns Pizza ","PZZA","6/8/2020","Buy","2.1%","-1.8%","-11.6%","21%","0.4%","0.7%","0%","34%"
19890,"Emergent BioSolutions ","EBS","3/3/2021","Buy","-2.7%","1.1%","-13.5%","-54%","-1.2%","4.5%","8%","16%"
19891,"Apple ","AAPL","29/1/2018","Buy","0.9%","-2.4%","5.2%","0%","-0.3%","-4.5%","-5%","-3%"
19892,"Workhorse Group ","WKHS","29/10/2020","Sell","-9.6%","12.4%","65.0%","-53%","-0.5%","7.2%","11%","43%"
19893,"Netflix ","NFLX","11/5/2022","Negative Mention","6.3%","5.3%","-2.7%",,"0.8%","-0.7%","-4%","0%"
19894,"Alteryx ","AYX","14/5/2020","Buy","5.1%","14.4%","10.0%","-41%","1.4%","3.2%","7%","47%"
19895,"Microsoft ","MSFT","7/1/2022","Buy","1.5%","-3.7%","-4.2%",,"0.6%","-1.9%","-4%","0%"
19896,"NXP Semiconductors ","NXPI","23/10/2020","Positive Mention","-0.2%","1.8%","15.6%","50%","-0.8%","-2.7%","5%","36%"
19897,"IBM ","IBM","5/5/2017","Positive Mention","0.2%","-1.0%","-0.4%","-4%","0.0%","0.3%","2%","13%"
19898,"Lululemon Athletica ","LULU","9/6/2016","Positive Mention","-1.0%","1.7%","8.4%","-26%","-0.2%","-1.2%","2%","18%"
19899,"Yum! Brands ","YUM","29/4/2020","Buy","0.3%","-2.1%","5.3%","41%","-0.4%","-1.0%","5%","46%"
19900,"Cloudera ","CLDR","5/10/2018","Buy","-0.8%","-12.9%","-16.9%","-50%","0.3%","-4.7%","-5%","4%"
19901,"Dollar General ","DG","10/5/2019","Positive Mention","-1.5%","1.3%","14.1%","56%","-0.6%","1.1%","3%","6%"
19902,"Chewy ","CHWY","8/12/2020","Buy","-3.1%","24.5%","28.2%","-25%","-1.1%","0.9%","4%","29%"
19903,"Estee Lauder ","EL","5/2/2019","Buy","0.3%","3.3%","4.1%","42%","0.0%","0.8%","1%","25%"
19904,"Centene ","CNC","27/4/2020","Buy","-3.8%","1.8%","-0.4%","-11%","-1.8%","0.2%","6%","48%"
19905,"NVIDIA ","NVDA","1/2/2018","Buy","-1.5%","-0.6%","1.0%","-36%","-1.7%","-5.1%","-1%","1%"
19906,"Block ","SQ","1/3/2018","Buy","1.5%","14.1%","3.6%","62%","1.2%","3.6%","-4%","6%"
19907,"Six Flags ","SIX","3/5/2019","Negative Mention","1.8%","-2.9%","-9.8%","-60%","1.2%","-4.1%","-6%","-1%"
19908,"Wynn Resorts ","WYNN","29/11/2021","Negative Mention","-1.0%","6.7%","6.3%","3%","-1.4%","2.8%","5%","-9%"
19909,"Apple ","AAPL","27/9/2021","Buy","-0.9%","-0.6%","7.5%","6%","-1.4%","-0.1%","6%","-13%"
19910,"Apple ","AAPL","25/3/2022","Buy","2.0%","1.6%","-7.2%",,"0.9%","0.2%","-6%","0%"
19911,"Workhorse Group ","WKHS","15/9/2020","Sell","7.4%","-16.2%","-15.0%","-69%","-0.8%","-4.4%","3%","34%"
19912,"Abbott Laboratories ","ABT","17/6/2021","Buy","0.3%","2.2%","8.1%","-4%","-0.5%","2.8%","2%","-8%"
19913,"PayPal ","PYPL","24/1/2022","Buy","-1.0%","11.1%","-33.6%",,"0.3%","4.3%","-1%","0%"
19914,"MaxLinear ","MXL","9/5/2017","Positive Mention","2.8%","3.7%","1.7%","-36%","0.2%","-1.7%","1%","16%"
19915,"Take-Two Interactive ","TTWO","17/5/2022","Buy","1.5%","-0.8%","2.2%",,"-2.9%","1.4%","-6%","0%"
19916,"Himax Technologies ","HIMX","4/12/2017","Negative Mention","4.0%","-18.0%","-18.9%","-72%","0.0%","1.4%","4%","4%"
19917,"SoFi Technologies ","SOFI","15/3/2022","Buy","6.1%","9.3%","-16.8%",,"1.3%","2.2%","1%","0%"
19918,"Apache ","APA","6/5/2020","Sell","3.8%","-12.8%","49.2%","83%","0.0%","-0.9%","12%","49%"
19919,"Starbucks ","SBUX","29/1/2020","Buy","0.5%","0.8%","-3.6%","15%","1.0%","1.9%","-6%","15%"
19920,"The Original BARK ","BARK","19/7/2021","Buy","-2.6%","0.8%","-19.3%","-83%","1.3%","1.8%","2%","-7%"
19921,"Marriott International ","MAR","29/11/2021","Buy","-0.7%","6.1%","11.7%","13%","-1.4%","2.8%","5%","-9%"
19922,"Kohl's ","KSS","19/11/2019","Sell","1.9%","2.3%","8.6%","-35%","-0.2%","1.5%","4%","17%"
19923,"Costamare ","CMRE","18/1/2017","Sell","0.7%","-3.0%","0.5%","9%","-0.4%","1.5%","5%","27%"
19924,"Harley Davidson ","HOG","27/10/2020","Positive Mention","-2.9%","-3.1%","20.8%","11%","-1.6%","5.2%","11%","42%"
19925,"Nio ","NIO","6/2/2020","Sell","-5.2%","-1.0%","-13.6%","1450%","-0.2%","1.6%","-17%","20%"
19926,"Palo Alto Networks ","PANW","9/11/2020","Buy","-2.3%","21.0%","26.8%","106%","0.2%","1.9%","4%","33%"
19927,"Devon Energy ","DVN","19/1/2022","Buy","0.9%","6.4%","8.3%",,"-1.5%","-3.5%","-4%","0%"
19928,"Apple ","AAPL","21/1/2022","Buy","1.0%","8.1%","1.8%",,"1.8%","2.3%","-2%","0%"
19929,"General Mills ","GIS","17/5/2018","Negative Mention","-0.9%","2.0%","7.0%","32%","-0.1%","0.3%","2%","7%"
19930,"Stanley Black & Decker ","SWK","23/10/2020","Buy","-1.4%","-2.4%","10.5%","11%","-0.8%","-2.7%","5%","36%"
19931,"Walt Disney ","DIS","2/2/2018","Buy","-2.2%","-1.3%","-1.2%","8%","-3.5%","0.5%","3%","5%"
19932,"Norwegian Cruise Line ","NCLH","17/3/2022","Buy","2.6%","-0.2%","6.6%",,"1.5%","1.8%","-1%","0%"
19933,"Johnson Controls ","JCI","14/7/2016","Buy","-0.7%","6.5%","3.2%","0%","-0.4%","0.7%","2%","16%"
19934,"CVS Health ","CVS","3/11/2017","Negative Mention","-2.1%","7.0%","7.3%","13%","0.2%","-0.2%","2%","8%"
19935,"Royal Caribbean Cruises ","RCL","14/7/2016","Negative Mention","-0.6%","3.7%","1.6%","62%","-0.4%","0.7%","2%","16%"
19936,"Biogen Idec ","BIIB","25/10/2017","Buy","-0.8%","0.6%","1.3%","-2%","-0.1%","0.8%","2%","6%"
19937,"General Electric ","GE","8/4/2019","Positive Mention","-1.4%","-0.9%","8.9%","-21%","-0.1%","1.0%","0%","-3%"
19938,"Thermo Fisher Scientific ","TMO","2/2/2022","Buy","0.0%","-2.5%","-10.1%",,"-1.0%","0.6%","-6%","0%"
19939,"Schlumberger ","SLB","19/10/2021","Buy","2.1%","-6.3%","-13.5%","34%","0.3%","0.3%","4%","-18%"
19940,"IBM ","IBM","14/10/2020","Buy","0.7%","-7.3%","-3.9%","22%","1.1%","-0.8%","4%","30%"
19941,"Kulicke & Soffa Industrie ","KLIC","4/4/2022","Sell","-3.0%","-3.7%","-5.7%",,"-0.9%","-2.8%","-8%","0%"
19942,"Dicks Sporting Goods ","DKS","17/8/2017","Negative Mention","-1.2%","-0.2%","2.0%","44%","-0.1%","0.8%","3%","20%"
19943,"First Solar ","FSLR","28/8/2017","Buy","2.3%","-1.1%","-4.7%","10%","0.7%","0.5%","3%","21%"
19944,"The Blackstone Group ","BX","11/5/2022","Buy","4.4%","5.2%","-1.9%",,"0.8%","-0.7%","-4%","0%"
19945,"Omega Healthcare ","OHI","17/3/2022","Sell","1.3%","5.6%","-8.6%",,"1.5%","1.8%","-1%","0%"
19946,"Marvell Technology ","MRVL","29/7/2020","Buy","3.9%","1.9%","7.9%","69%","0.6%","3.2%","8%","37%"
19947,"Penn National Gaming ","PENN","3/5/2021","Buy","0.6%","-7.3%","-11.1%","-57%","-0.1%","-0.3%","1%","5%"
19948,"Five9 ","FIVN","8/8/2019","Buy","1.2%","2.8%","-4.7%","87%","-0.3%","-0.9%","2%","17%"
19949,"Toll Brothers ","TOL","4/12/2018","Negative Mention","2.2%","-0.8%","5.1%","25%","1.5%","-1.6%","-6%","18%"
19950,"Capri 0ings ","CPRI","6/2/2019","Buy","-1.3%","-4.8%","-5.2%","-35%","-0.3%","1.6%","3%","25%"
19951,"Microsoft ","MSFT","27/9/2021","Buy","-2.2%","1.8%","14.4%","-14%","-1.4%","-0.1%","6%","-13%"
19952,"Palo Alto Networks ","PANW","25/1/2019","Buy","0.5%","6.0%","12.7%","15%","0.1%","3.1%","6%","25%"
19953,"McDonald's ","MCD","12/11/2018","Buy","0.0%","-0.2%","1.9%","8%","-0.4%","-2.9%","-2%","16%"
19954,"First Horizon National ","FHN","9/7/2021","Buy","2.3%","-11.3%","-6.3%","33%","0.4%","-2.8%","1%","-11%"
19955,"Coupa Software ","COUP","24/10/2019","Positive Mention","3.3%","6.4%","12.5%","119%","0.6%","1.5%","4%","15%"
19956,"Spotify ","SPOT","28/3/2019","Positive Mention","2.4%","1.7%","-0.5%","-13%","0.0%","2.2%","4%","-5%"
19957,"Upwork ","UPWK","16/8/2021","Buy","-1.2%","6.3%","17.3%","-54%","0.0%","0.9%","1%","-3%"
19958,"DraftKings ","DKNG","24/6/2020","Sell","-2.5%","-8.3%","-2.6%","43%","1.3%","1.6%","5%","41%"
19959,"Nike ","NKE","18/9/2020","Buy","0.4%","9.7%","12.4%","37%","0.4%","2.2%","5%","35%"
19960,"Ollie's Bargain Outlet ","OLLI","8/11/2016","Buy","6.4%","8.2%","9.8%","55%","1.9%","0.7%","5%","22%"
19961,"Gritstone Oncology ","GRTS","3/8/2021","Sell","-2.9%","13.7%","71.1%","-47%","-0.2%","1.1%","3%","-4%"
19962,"Carmax ","KMX","16/7/2019","Negative Mention","0.1%","4.3%","-0.1%","12%","-0.7%","1.2%","-3%","10%"
19963,"Vale ","VALE","19/4/2022","Buy","-0.1%","-11.1%","-9.4%",,"-0.5%","-6.2%","-12%","0%"
19964,"Cronos Group ","CRON","10/5/2019","Buy","-6.1%","3.5%","22.0%","-63%","-0.6%","1.1%","3%","6%"
19965,"Roku ","ROKU","1/12/2020","Buy","0.0%","8.9%","13.0%","-25%","0.5%","0.0%","1%","26%"
19966,"Wix.com ","WIX","26/5/2020","Buy","-0.3%","10.6%","22.3%","26%","0.5%","2.8%","-1%","40%"
19967,"Marcus ","MCS","21/9/2020","Sell","-2.3%","-13.0%","-10.1%","79%","0.5%","0.6%","4%","34%"
19968,"Barrick Gold ","GOLD","24/2/2020","Buy","-2.1%","-2.6%","-7.5%","-4%","-3.5%","-4.0%","-16%","28%"
19969,"Intuitive Surgical ","ISRG","9/4/2020","Negative Mention","-0.3%","6.4%","9.0%","58%","-0.5%","4.0%","6%","52%"
19970,"Raytheon ","RTN","16/9/2019","Buy","0.0%","-2.7%","-0.3%",,"0.3%","-1.2%","0%","15%"
19971,"Microsoft ","MSFT","29/7/2020","Buy","1.4%","6.1%","10.9%","41%","0.6%","3.2%","8%","37%"
19972,"Costco ","COST","10/12/2021","Buy","1.2%","-1.6%","-6.9%","-12%","-0.8%","-2.1%","0%","-13%"
19973,"Devon Energy ","DVN","19/8/2021","Buy","3.0%","18.1%","11.6%","186%","0.7%","1.6%","-2%","-5%"
19974,"Tradeweb Markets ","TW","16/5/2019","Buy","-0.1%","2.2%","-3.2%","45%","0.2%","-1.1%","1%","5%"
19975,"Procter & Gamble ","PG","1/4/2020","Buy","6.2%","0.2%","1.9%","22%","2.7%","10.5%","13%","64%"
19976,"eXp World ","EXPI","19/4/2021","Positive Mention","-3.3%","13.7%","-11.5%","-48%","-0.4%","1.3%","1%","9%"
19977,"Nokia ","NOK","29/4/2019","Positive Mention","0.8%","-4.5%","-2.6%","-32%","0.2%","-2.1%","-5%","2%"
19978,"Zix ","ZIXI","14/10/2020","Negative Mention","2.6%","-3.9%","2.4%","13%","1.1%","-0.8%","4%","30%"
19979,"Cleveland-Cliffs ","CLF","16/9/2019","Negative Mention","-2.1%","-13.0%","-14.7%","-21%","0.3%","-1.2%","0%","15%"
19980,"Marvell Technology ","MRVL","4/1/2022","Buy","-3.4%","1.0%","-15.4%",,"-1.8%","0.6%","-4%","0%"
19981,"ServiceNow ","NOW","1/2/2018","Buy","-0.5%","-3.1%","12.4%","50%","-1.7%","-5.1%","-1%","1%"
19982,"American Express ","AXP","22/1/2021","Positive Mention","-2.5%","-3.4%","12.2%","33%","0.2%","-2.1%","1%","16%"
19983,"Pandora Media ","P","15/6/2017","Sell","-2.8%","18.5%","35.1%","17%","-0.1%","0.2%","1%","16%"
19984,"Deere & Company ","DE","8/1/2021","Positive Mention","1.9%","0.0%","7.5%","30%","0.2%","0.0%","3%","25%"
19985,"Schlumberger ","SLB","11/10/2019","Negative Mention","1.8%","3.1%","11.8%","-48%","0.0%","1.4%","4%","21%"
19986,"Procter & Gamble ","PG","24/10/2018","Buy","1.0%","0.7%","3.3%","42%","1.0%","1.3%","-1%","14%"
19987,"United Parcel Service ","UPS","30/4/2020","Buy","-1.4%","3.2%","9.2%","138%","-0.9%","3.4%","8%","50%"
19988,"Tilray ","TLRY","8/1/2019","Sell","-2.8%","7.4%","-0.6%","-80%","0.2%","1.2%","5%","29%"
19989,"Electronic Arts ","EA","3/5/2019","Negative Mention","2.9%","-3.6%","-2.6%","25%","1.2%","-4.1%","-6%","-1%"
19990,"Abercrombie & Fitch ","ANF","29/8/2017","Sell","1.1%","9.1%","15.7%","86%","0.5%","0.4%","3%","20%"
19991,"Cardinal Health ","CAH","28/4/2017","Positive Mention","1.0%","-0.2%","1.9%","-9%","0.0%","0.4%","1%","13%"
19992,"Bed Bath & Beyond ","BBBY","3/3/2021","Positive Mention","0.2%","0.2%","0.0%","-44%","-1.2%","4.5%","8%","16%"
19993,"Centene ","CNC","27/4/2018","Buy","0.1%","6.4%","7.7%","-4%","-1.0%","0.9%","2%","13%"
19994,"Micron Technology ","MU","9/6/2016","Sell","-1.5%","0.5%","4.1%","157%","-0.2%","-1.2%","2%","18%"
19995,"Halliburton ","HAL","18/10/2019","Negative Mention","8.0%","3.5%","2.8%","-36%","0.2%","1.1%","4%","16%"
19996,"Advanced Micro Devices ","AMD","18/6/2018","Buy","-0.9%","-7.1%","0.1%","83%","0.5%","-1.4%","2%","8%"
19997,"AMC Entertainment ","AMC","21/7/2021","Negative Mention","-7.3%","2.4%","-1.2%","-58%","0.2%","1.2%","3%","-8%"
19998,"Vale ","VALE","29/11/2016","Negative Mention","0.8%","8.4%","-9.8%","30%","-0.6%","1.9%","2%","23%"
19999,"Target ","TGT","14/6/2017","Positive Mention","-2.7%","-8.7%","-3.1%","45%","0.4%","0.1%","1%","16%"
20000,"FedEx ","FDX","8/11/2016","Buy","1.5%","1.5%","8.7%","21%","1.9%","0.7%","5%","22%"
20001,"D R Horton ","DHI","10/5/2021","Buy","-3.2%","-7.4%","-11.8%","-34%","0.3%","-0.5%","2%","-4%"
20002,"ContextLogic ","WISH","3/12/2021","Buy","11.8%","-5.5%","-10.8%","-80%","0.6%","1.7%","4%","-12%"
20003,"Dicks Sporting Goods ","DKS","9/11/2021","Buy","-2.2%","3.8%","-12.2%","-13%","-0.4%","1.0%","2%","-14%"
20004,"Micron Technology ","MU","5/3/2019","Negative Mention","-3.7%","2.4%","14.2%","42%","-0.7%","1.4%","5%","11%"
20005,"Canoo ","GOEV","14/4/2021","Sell","-7.3%","1.0%","-9.7%","-42%","0.5%","-0.9%","0%","7%"
20006,"Anheuser-Busch InBev ","BUD","6/9/2018","Sell","1.0%","-0.5%","-3.0%","9%","0.2%","1.1%","1%","6%"
20007,"Marathon Petroleum ","MPC","24/5/2018","Buy","-1.2%","6.4%","-9.1%","-34%","0.0%","0.5%","0%","5%"
20008,"Harley Davidson ","HOG","8/12/2021","Sell","-0.9%","0.0%","5.5%","24%","-0.4%","0.0%","0%","-14%"
20009,"Seaspan ","SSW","10/5/2019","Negative Mention","-0.6%","3.9%","-3.8%",,"-0.6%","1.1%","3%","0%"
20010,"International Paper ","IP","5/2/2018","Buy","1.8%","-2.6%","-7.1%","-18%","3.5%","-1.2%","2%","3%"
20011,"Danimer Scientific ","DNMR","17/8/2021","Sell","3.9%","21.8%","8.3%","-66%","-0.9%","2.2%","1%","-1%"
20012,"Frequency Therapeutics ","FREQ","19/11/2020","Buy","10.2%","9.6%","20.8%","-78%","-0.6%","2.3%","4%","33%"
20013,"WestRock ","WRK","5/2/2018","Buy","2.5%","-1.7%","3.0%","-38%","3.5%","-1.2%","2%","3%"
20014,"Stamps.com ","STMP","24/3/2021","Sell","4.5%","9.5%","10.0%",,"1.0%","2.8%","7%","18%"
20015,"Schlumberger ","SLB","11/1/2019","Negative Mention","0.5%","6.4%","5.7%","0%","0.2%","2.1%","5%","30%"
20016,"Stitch Fix ","SFIX","10/12/2020","Buy","3.0%","16.6%","-5.9%","-68%","0.4%","1.2%","4%","29%"
20017,"Ford Motor ","F","18/8/2021","Buy","-1.0%","1.8%","1.2%","29%","0.8%","1.5%","-1%","-3%"
20018,"Slack ","WORK","27/10/2020","Positive Mention","-3.3%","-1.7%","53.0%",,"-1.6%","5.2%","11%","42%"
20019,"Clear Secure ","YOU","13/9/2021","Sell","-3.3%","-3.7%","-6.8%","-42%","-0.9%","-2.1%","0%","-10%"
20020,"KLA Corp ","KLAC","3/1/2020","Buy","-0.7%","0.0%","-2.9%","51%","1.0%","1.3%","0%","16%"
20021,"Senior Housing Properties ","SNH","15/6/2016","Buy","1.6%","3.1%","14.1%","19%","0.3%","1.7%","4%","19%"
20022,"Domino's Pizza ","DPZ","25/2/2022","Positive Mention","2.1%","-7.4%","-7.4%",,"1.1%","-3.9%","5%","0%"
20023,"Wayfair ","W","7/11/2017","Negative Mention","-2.5%","9.7%","27.8%","69%","0.2%","-1.0%","2%","10%"
20024,"Nucor ","NUE","26/10/2021","Buy","-1.4%","1.9%","5.3%","27%","-0.5%","2.4%","1%","-15%"
20025,"ZAGG ","ZAGG","21/3/2018","Sell","-2.0%","-2.4%","-5.2%","-26%","-1.6%","-0.2%","1%","8%"
20026,"Bank of America ","BAC","15/1/2021","Negative Mention","0.8%","-4.9%","4.6%","44%","0.1%","1.5%","4%","22%"
20027,"Dropbox ","DBX","18/6/2018","Buy","-4.0%","-17.5%","-21.2%","-39%","0.5%","-1.4%","2%","8%"
20028,"Parsley Energy ","PE","22/7/2020","Buy","0.8%","-4.3%","-5.0%",,"-1.1%","0.3%","6%","38%"
20029,"Kohl's ","KSS","24/1/2022","Positive Mention","-0.7%","-4.7%","-10.6%",,"0.3%","4.3%","-1%","0%"
20030,"Netflix ","NFLX","19/8/2019","Positive Mention","-1.8%","-2.7%","-4.1%","62%","-0.6%","-1.1%","4%","19%"
20031,"Microsoft ","MSFT","2/6/2022","Buy","-0.1%","-6.3%","-2.7%",,"-0.5%","-5.1%","-7%","0%"
20032,"Cara Therapeutics ","CARA","10/7/2017","Negative Mention","4.5%","20.6%","10.3%","71%","0.0%","1.4%","1%","16%"
20033,"Norwegian Cruise Line ","NCLH","11/2/2021","Buy","0.6%","14.1%","34.1%","-10%","0.7%","-0.7%","1%","13%"
20034,"Radius Health ","RDUS","2/2/2018","Sell","-1.6%","2.6%","-7.2%","-47%","-3.5%","0.5%","3%","5%"
20035,"SAP AG ","SAP","30/3/2020","Buy","-0.6%","1.2%","7.3%","13%","-1.1%","2.9%","13%","56%"
20036,"Kohl's ","KSS","9/12/2019","Sell","0.2%","5.0%","-3.9%","-14%","-0.1%","1.9%","5%","19%"
20037,"Macy's ","M","15/1/2019","Negative Mention","-0.4%","0.9%","1.6%","-23%","0.1%","0.9%","6%","29%"
20038,"Twilio ","TWLO","14/10/2016","Positive Mention","-2.1%","-8.4%","-29.4%","-28%","-0.3%","1.2%","2%","23%"
20039,"Nabors Industries ","NBR","6/5/2019","Negative Mention","0.8%","-4.5%","-38.3%","-93%","-0.8%","-1.6%","-1%","1%"
20040,"Goldman Sachs ","GS","15/7/2020","Buy","0.5%","-5.4%","-5.4%","73%","0.3%","0.7%","5%","36%"
20041,"Chegg ","CHGG","10/6/2020","Buy","-1.9%","11.1%","24.0%","35%","-3.5%","3.7%","5%","43%"
20042,"Align Technology ","ALGN","1/2/2018","Buy","2.3%","-10.9%","-0.7%","-5%","-1.7%","-5.1%","-1%","1%"
20043,"AT&T ","T","29/1/2020","Buy","2.6%","2.7%","-0.7%","-18%","1.0%","1.9%","-6%","15%"
20044,"Macy's ","M","6/5/2016","Negative Mention","1.8%","-18.6%","-9.2%","-21%","0.2%","0.4%","3%","19%"
20045,"Berkshire Hathaway ","BRK.B","9/6/2022","Buy","-1.5%","-8.1%","-4.5%",,"-1.3%","-5.7%","-1%","0%"
20046,"Snowflake ","SNOW","18/12/2020","Buy","6.3%","-13.4%","-18.2%","-5%","0.8%","1.2%","3%","25%"
20047,"Cintas ","CTAS","17/12/2021","Buy","-0.4%","2.8%","-9.0%","4%","0.1%","4.9%","0%","-15%"
20048,"Electrameccanica Vehicles ","SOLO","17/3/2021","Negative Mention","-4.3%","-11.7%","-24.5%","-58%","-0.8%","-0.1%","6%","15%"
20049,"Yum China ","YUMC","6/2/2020","Negative Mention","-0.8%","5.0%","0.8%","40%","-0.2%","1.6%","-17%","20%"
20050,"Johnson Controls ","JCI","27/7/2016","Buy","-0.3%","-1.2%","-2.0%","-15%","0.2%","-0.2%","1%","16%"
20051,"AT&T ","T","21/1/2022","Positive Mention","0.6%","-3.2%","-9.8%",,"1.8%","2.3%","-2%","0%"
20052,"ON Semiconductor ","ON","29/7/2021","Buy","2.8%","15.9%","15.9%","63%","0.1%","0.9%","3%","-5%"
20053,"Alibaba ","BABA","5/4/2018","Buy","-1.4%","2.7%","16.6%","11%","-1.4%","2.1%","3%","13%"
20054,"Snap ","SNAP","4/10/2017","Sell","1.3%","14.3%","2.4%","-46%","0.4%","0.0%","2%","15%"
20055,"Ambarella ","AMBA","2/5/2016","Sell","-3.9%","0.5%","11.2%","49%","-0.2%","1.1%","2%","18%"
20056,"Wynn Resorts ","WYNN","29/1/2018","Sell","6.5%","-4.8%","-4.4%","-28%","-0.3%","-4.5%","-5%","-3%"
20057,"Barnes & Noble ","BKS","4/12/2018","Sell","-0.1%","0.4%","13.8%",,"1.5%","-1.6%","-6%","18%"
20058,"Ultra Clean 0ings ","UCTT","14/11/2017","Positive Mention","0.7%","2.2%","-8.0%","-62%","-0.1%","1.3%","4%","8%"
20059,"Zillow Group ","ZG","1/10/2021","Negative Mention","-4.7%","4.8%","12.8%","-66%","-1.0%","1.4%","7%","-13%"
